"review_id","product_category","timestamp","country","rating","sentiment","language_update"
"REV-50BCBCD9","Sports","2024-09-16 13:44:26.000","US","1","Negative","en"
"REV-6D2B2651","Toys","2024-09-16 18:26:46.000","GB","1","Negative","en"
"REV-F7E80372","Toys","2024-09-16 21:47:39.000","GB","1","Negative","en"
"REV-ED2B173F","Sports","2024-09-17 07:15:49.000","AU","1","Negative","en"
"REV-E48A7AB9","Fashion","2024-09-16 18:37:17.000","GB","1","Negative","en"
"REV-16AD2286","Beauty","2024-09-17 10:07:38.000","US","1","Negative","en"
"REV-1BFA3134","Beauty","2024-09-16 23:43:32.000","US","1","Negative","en"
"REV-2243E354","Beauty","2024-09-15 18:07:45.000","US","5","Positive","en"
"REV-29749236","Sports","2024-09-17 13:00:12.000","GB","1","Negative","en"
"REV-C9F741FE","Toys","2024-09-16 21:04:07.000","US","5","Positive","en"
"REV-8A8C0A40","Sports","2024-09-16 14:06:17.000","JP","5","Positive","en"
"REV-DB73D536","Sports","2024-09-17 13:16:22.000","GB","1","Negative","en"
"REV-CD8E8F1A","Food & Grocery","2024-09-17 13:19:27.000","US","2","Negative","en"
"REV-B02DAD0B","Toys","2024-09-16 03:39:52.000","US","1","Negative","en"
"REV-D5B0173E","Food & Grocery","2024-09-15 16:51:11.000","GB","1","Negative","en"
"REV-0C4C1101","Home & Living","2024-09-14 17:32:11.000","GB","1","Negative","en"
"REV-428E06C7","Toys","2024-09-16 17:37:01.000","GB","1","Negative","en"
"REV-1B5ED77A","Toys","2024-09-14 21:44:10.000","CA","1","Negative","en"
"REV-8670DC31","Toys","2024-09-15 04:51:34.000","US","1","Negative","en"
"REV-3F3FDCA8","Beauty","2024-09-16 15:40:46.000","US","2","Negative","en"
"REV-01100819","Beauty","2024-09-17 10:04:03.000","GB","1","Negative","en"
"REV-A55AF824","Food & Grocery","2024-09-12 13:03:28.000","GB","1","Negative","en"
"REV-AF61F3EF","Food & Grocery","2024-09-13 00:10:39.000","US","1","Negative","en"
"REV-41F710C3","Toys","2024-09-12 06:39:00.000","US","1","Negative","en"
"REV-5F959BC4","Food & Grocery","2024-09-12 13:59:11.000","US","1","Negative","en"
"REV-A394B12D","Beauty","2024-09-13 00:53:32.000","US","1","Negative","en"
"REV-B367EF44","Sports","2024-09-16 18:57:46.000","ZA","1","Negative","en"
"REV-A897F858","Sports","2024-09-12 13:43:31.000","GB","1","Negative","en"
"REV-FD2E7646","Sports","2024-09-13 17:58:41.000","GB","2","Negative","en"
"REV-F69EA336","Food & Grocery","2024-09-11 20:28:56.000","GB","2","Negative","en"
"REV-4CD47C03","Home & Living","2024-09-16 15:48:01.000","US","1","Negative","en"
"REV-C60ED7A5","Beauty","2024-09-14 15:05:22.000","GB","1","Negative","en"
"REV-8DAA83D6","Home & Living","2024-09-13 14:37:36.000","GB","4","Positive","en"
"REV-3F6AE479","Food & Grocery","2024-09-10 19:09:53.000","US","1","Negative","en"
"REV-CC04C79B","Fashion","2024-09-12 20:40:56.000","GB","1","Negative","en"
"REV-7CCF872F","Electronics","2024-09-10 16:33:03.000","IN","1","Negative","en"
"REV-E6A465A5","Electronics","2024-09-12 12:01:15.000","GB","1","Negative","en"
"REV-ADEB148C","Toys","2024-09-17 03:08:05.000","CA","1","Negative","en"
"REV-61A2D665","Electronics","2024-09-08 17:09:32.000","GB","1","Negative","en"
"REV-726F4A60","Electronics","2024-09-08 21:29:59.000","BE","3","Neutral","en"
"REV-C1567949","Beauty","2024-09-16 17:35:34.000","US","5","Positive","en"
"REV-65CAA614","Sports","2024-09-11 13:16:42.000","GB","1","Negative","en"
"REV-EA45A51A","Home & Living","2024-09-13 00:09:59.000","US","1","Negative","en"
"REV-AB7FB43F","Fashion","2024-09-10 01:37:30.000","US","1","Negative","en"
"REV-434D046A","Fashion","2024-09-11 04:16:40.000","US","1","Negative","en"
"REV-00F40F68","Beauty","2024-09-11 22:58:27.000","US","1","Negative","en"
"REV-D01BBC1C","Beauty","2024-09-11 13:49:27.000","AU","1","Negative","en"
"REV-DFAFF2C4","Electronics","2024-09-12 13:31:15.000","US","1","Negative","en"
"REV-3460A341","Fashion","2024-09-07 19:24:48.000","GB","1","Negative","en"
"REV-71DC286C","Toys","2024-09-09 10:56:02.000","GB","1","Negative","en"
"REV-C7934865","Toys","2024-09-09 18:07:16.000","GB","1","Negative","en"
"REV-EDF95879","Home & Living","2024-09-13 16:30:45.000","AE","1","Negative","en"
"REV-D7C99B38","Toys","2024-09-12 16:44:49.000","GB","1","Negative","en"
"REV-4544B6EC","Fashion","2024-09-11 16:39:34.000","GB","5","Positive","en"
"REV-F73E2BB5","Electronics","2024-09-13 15:28:54.000","GB","1","Negative","en"
"REV-2698D231","Fashion","2024-09-15 04:26:46.000","US","5","Positive","en"
"REV-BD46E6A2","Food & Grocery","2024-09-09 04:53:21.000","NZ","1","Negative","en"
"REV-A68F37D6","Fashion","2024-09-08 15:18:27.000","US","1","Negative","en"
"REV-46D5D878","Electronics","2024-09-09 20:03:34.000","GB","5","Positive","en"
"REV-6A07D14B","Toys","2024-09-13 11:33:10.000","GB","1","Negative","en"
"REV-520F005C","Sports","2024-09-13 10:44:42.000","GB","1","Negative","en"
"REV-10B74381","Home & Living","2024-09-07 20:01:34.000","AE","1","Negative","en"
"REV-45A30792","Food & Grocery","2024-09-16 19:13:57.000","US","1","Negative","en"
"REV-3C237955","Toys","2024-09-09 09:53:01.000","IL","5","Positive","en"
"REV-7DEC17F0","Home & Living","2024-09-10 10:37:25.000","NL","1","Negative","en"
"REV-DAFEF2A6","Toys","2024-09-07 13:57:39.000","GB","1","Negative","en"
"REV-14D06D06","Food & Grocery","2024-09-13 04:38:35.000","US","1","Negative","en"
"REV-101FE625","Fashion","2024-09-13 20:55:54.000","US","1","Negative","en"
"REV-B2DAC0ED","Electronics","2024-09-13 07:41:22.000","IN","1","Negative","en"
"REV-6E13600C","Sports","2024-09-09 23:12:14.000","US","1","Negative","en"
"REV-6E9F754A","Food & Grocery","2024-09-04 17:33:08.000","US","1","Negative","en"
"REV-C92436B0","Electronics","2024-09-05 20:03:35.000","US","1","Negative","en"
"REV-D353486A","Fashion","2024-09-13 00:23:52.000","US","1","Negative","en"
"REV-98D761FA","Food & Grocery","2024-09-16 08:01:02.000","SE","1","Negative","en"
"REV-D48A1C35","Beauty","2024-09-08 21:39:48.000","GB","1","Negative","en"
"REV-46D3B80D","Sports","2024-09-06 10:38:46.000","US","4","Positive","en"
"REV-BF084AC2","Toys","2024-09-13 17:18:52.000","GB","1","Negative","en"
"REV-BC19EDCC","Toys","2024-09-16 11:41:30.000","DK","1","Negative","en"
"REV-6BE5E750","Sports","2024-09-14 23:16:42.000","US","1","Negative","en"
"REV-D95E6FE8","Beauty","2024-09-11 04:08:03.000","JM","1","Negative","en"
"REV-D49FB11F","Electronics","2024-09-06 12:50:09.000","DK","2","Negative","en"
"REV-1DFFA986","Fashion","2024-09-07 07:39:18.000","GB","2","Negative","en"
"REV-F1C5FFE8","Toys","2024-09-04 14:40:36.000","US","1","Negative","en"
"REV-FF08DB3A","Electronics","2024-09-08 21:53:06.000","GB","1","Negative","en"
"REV-BBD527AC","Beauty","2024-09-05 13:37:02.000","GB","1","Negative","en"
"REV-37C02EA6","Electronics","2024-09-11 18:01:00.000","GB","1","Negative","en"
