Country,Review_Count
US,9286
GB,7293
CA,708
IN,628
IE,242
DK,239
NL,215
AU,186
DE,181
IT,150
FR,112
SE,94
ES,94
AE,89
PK,71
IL,66
NZ,58
BE,55
ZA,52
PH,46
SG,44
RU,43
NO,43
TR,41
PL,41
PT,40
HK,39
UA,39
CH,34
GR,32
JP,29
AT,29
NG,28
RO,28
MX,27
FI,25
EG,23
CZ,23
ID,22
BR,17
AR,17
CY,16
TH,16
MT,16
VN,16
MY,15
CO,15
CN,15
MA,15
RS,15
SA,15
BD,15
JM,14
HR,14
PR,11
GE,11
HU,11
BG,11
SI,11
LT,10
QA,10
AM,10
SK,9
PE,9
LV,9
DO,8
BH,8
KR,8
KW,7
TW,7
EE,7
PA,6
CR,6
AZ,6
OM,5
KE,5
EC,5
VE,5
JE,4
DZ,4
LU,4
BB,4
CL,4
LK,4
LB,4
JO,4
ME,3
GG,3
GH,3
BS,3
CM,3
MO,3
NP,3
BZ,3
IS,3
NI,2
KH,2
MQ,2
PG,2
GI,2
KZ,2
FJ,2
TN,2
HN,2
CW,2
GT,2
MG,2
IM,2
PY,2
BA,2
TZ,2
MD,2
IR,2
AD,2
VG,1
CV,1
MC,1
AG,1
VI,1
BO,1
AF,1
MV,1
SL,1
CD,1
AO,1
ET,1
UG,1
SR,1
BY,1
GF,1
KG,1
TT,1
LA,1
IQ,1
BQ,1
GY,1
MN,1
UY,1
SO,1
RW,1
MU,1
BM,1
SV,1
BW,1
CI,1
ZM,1
MK,1
MM,1
